Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"engineer, mining",manufacturing,increasing,low,61276.62,bachelor’s degree,16,295,9152,21.93,84.5,india,63.65
"surveyor, insurance",it,increasing,low,147244.38,bachelor’s degree,1,8460,8422,42.15,24.43,uk,56.95
"accountant, chartered",manufacturing,increasing,low,82739.57,phd,4,6765,8709,64.34,66.06,germany,65.73
police officer,retail,decreasing,low,44845.59,master’s degree,11,2078,5298,76.8,18.46,brazil,43.03
"psychologist, forensic",entertainment,decreasing,moderate,37253.72,bachelor’s degree,11,9831,1825,65.69,80.61,brazil,44.09
horticultural consultant,manufacturing,increasing,moderate,113425.03,high school,19,9660,3401,36.62,20.21,india,20.62
dancer,finance,decreasing,moderate,57027.13,phd,19,7039,7861,59.49,63.29,uk,25.06
commissioning editor,finance,increasing,low,101780.88,associate degree,14,8118,6569,97.12,72.59,germany,24.68
"loss adjuster, chartered",education,decreasing,low,144698.6,master’s degree,19,5983,6128,72.65,88.34,brazil,53.79
"education officer, museum",finance,increasing,high,60124.5,bachelor’s degree,3,1295,4849,8.85,57.75,uk,72.65
recycling officer,manufacturing,increasing,high,81869.18,associate degree,8,9729,3444,12.83,63.32,china,78.33
fisheries officer,transportation,decreasing,low,79134.03,phd,3,9996,9931,11.0,13.41,australia,49.56
herbalist,education,decreasing,high,57378.48,high school,20,354,441,60.82,7.24,canada,48.17
"designer, interior/spatial",transportation,decreasing,low,141587.04,master’s degree,15,5932,192,36.96,74.36,australia,49.34
publishing copy,transportation,increasing,low,113605.05,phd,7,706,7214,43.14,99.46,usa,77.22
local government officer,retail,decreasing,high,51158.99,associate degree,2,754,472,12.91,32.45,canada,56.23
production engineer,retail,decreasing,high,99895.16,bachelor’s degree,6,2540,8940,90.35,70.05,india,66.88
"administrator, civil service",healthcare,increasing,low,99737.89,high school,17,397,2731,29.8,64.81,china,36.57
"therapist, music",retail,increasing,moderate,76676.82,bachelor’s degree,11,6821,2531,3.42,94.91,usa,53.01
curator,it,increasing,high,136540.86,high school,1,5790,753,22.47,84.13,brazil,49.26
food technologist,entertainment,decreasing,high,91394.66,master’s degree,2,9013,2259,42.98,47.49,usa,27.24
retail merchandiser,entertainment,increasing,moderate,137695.1,phd,19,199,8462,8.84,90.15,canada,55.26
"producer, television/film/video",entertainment,increasing,moderate,44268.41,high school,19,1845,4750,82.96,17.03,germany,58.13
database administrator,retail,increasing,moderate,59003.07,bachelor’s degree,7,5044,343,65.93,74.36,china,49.36
chiropractor,it,decreasing,moderate,82939.09,master’s degree,6,156,6326,91.45,19.99,china,46.08
"designer, fashion/clothing",transportation,increasing,high,122471.71,bachelor’s degree,6,8675,7418,52.4,2.74,usa,50.78
biomedical scientist,manufacturing,increasing,high,35385.88,high school,20,1360,8741,19.37,81.04,brazil,21.74
clinical research associate,manufacturing,decreasing,high,67965.92,master’s degree,7,1639,1959,65.61,19.94,uk,36.52
"scientist, forensic",transportation,increasing,moderate,90316.53,bachelor’s degree,3,9981,1743,81.77,49.85,uk,24.88
tax adviser,healthcare,decreasing,high,36658.75,phd,10,5854,3587,40.07,35.82,brazil,29.52
games developer,manufacturing,decreasing,moderate,77411.25,phd,8,1018,3013,43.66,4.75,australia,51.34
heritage manager,transportation,increasing,low,99411.82,bachelor’s degree,19,9636,8612,27.19,7.58,australia,65.45
set designer,retail,decreasing,low,100922.81,master’s degree,18,5965,6861,43.15,66.42,india,68.37
"exhibitions officer, museum/gallery",finance,decreasing,high,51199.53,bachelor’s degree,7,2778,1258,55.63,51.7,canada,24.8
plant breeder/geneticist,retail,decreasing,high,126122.89,associate degree,2,4405,6806,30.34,44.22,canada,48.36
surgeon,healthcare,decreasing,moderate,113839.64,master’s degree,15,4343,7942,90.99,90.0,canada,73.45
"surveyor, planning and development",it,increasing,moderate,32609.35,master’s degree,14,4368,5153,14.79,34.63,india,68.19
dancer,entertainment,decreasing,low,34876.8,bachelor’s degree,3,3907,5380,92.0,44.62,uk,68.25
quantity surveyor,transportation,increasing,low,31589.16,master’s degree,2,4236,7172,38.26,84.77,canada,34.15
field seismologist,manufacturing,increasing,high,115739.64,associate degree,2,2647,8691,6.26,63.81,china,57.91
child psychotherapist,transportation,decreasing,high,57817.46,associate degree,3,2845,6093,38.57,58.29,canada,48.63
automotive engineer,retail,decreasing,low,61066.4,bachelor’s degree,14,5362,6907,30.58,57.64,uk,78.69
writer,education,decreasing,moderate,145448.31,associate degree,18,2529,8009,97.1,45.46,china,54.87
office manager,it,decreasing,low,79721.94,master’s degree,5,2388,9215,2.49,31.53,brazil,42.84
plant breeder/geneticist,it,decreasing,moderate,85465.55,associate degree,0,2139,7137,86.62,74.56,china,62.49
"surveyor, insurance",manufacturing,increasing,moderate,115583.52,phd,8,7029,9148,21.31,9.22,china,37.38
community education officer,it,increasing,moderate,36886.14,phd,0,7995,3414,46.8,81.65,brazil,67.62
insurance account manager,transportation,increasing,moderate,92108.49,phd,1,1334,4330,6.25,32.98,australia,49.68
barrister's clerk,retail,increasing,high,85610.58,bachelor’s degree,16,801,4968,54.64,43.25,germany,75.53
pathologist,entertainment,decreasing,moderate,77467.4,phd,14,7772,2662,17.45,63.42,australia,53.58
textile designer,entertainment,increasing,high,62129.35,high school,9,7729,5314,7.42,68.67,india,77.56
art therapist,transportation,decreasing,high,141812.28,master’s degree,16,8634,5411,26.14,16.98,usa,29.26
hydrographic surveyor,retail,increasing,high,123686.15,high school,14,4953,6253,3.66,83.23,china,74.99
"designer, multimedia",it,increasing,moderate,33651.58,bachelor’s degree,9,5880,229,9.62,87.66,canada,37.13
quality manager,healthcare,decreasing,high,136180.53,phd,16,3862,3038,57.57,50.42,usa,78.51
higher education careers adviser,entertainment,increasing,low,67613.11,associate degree,12,453,4175,10.31,88.4,brazil,74.9
"engineer, drilling",transportation,decreasing,high,92809.57,master’s degree,11,4159,7688,22.94,44.63,china,73.81
chartered management accountant,healthcare,decreasing,high,140138.23,associate degree,16,7408,8287,47.74,63.86,germany,34.54
public relations officer,healthcare,increasing,low,145051.78,phd,4,1831,4175,90.2,8.84,brazil,75.61
lexicographer,healthcare,decreasing,high,101486.78,phd,13,4604,6475,31.97,13.22,brazil,68.12
"teacher, secondary school",manufacturing,increasing,moderate,114008.37,high school,9,6342,8933,83.99,61.11,uk,59.24
land,transportation,increasing,moderate,35932.54,high school,16,1282,8233,80.69,51.94,brazil,31.88
dispensing optician,finance,increasing,low,102078.29,associate degree,0,2360,5863,55.1,50.49,china,34.96
intelligence analyst,transportation,decreasing,low,110443.5,master’s degree,0,9022,4689,41.15,4.17,uk,24.31
academic librarian,entertainment,increasing,moderate,95576.94,phd,2,1156,5155,38.14,70.8,usa,47.3
conference centre manager,retail,decreasing,low,95613.27,high school,13,3633,8307,97.36,76.03,india,27.71
ranger/warden,it,decreasing,high,43009.0,high school,1,9882,1479,38.06,46.66,canada,49.77
insurance underwriter,retail,decreasing,moderate,108169.58,bachelor’s degree,14,9485,4564,29.85,40.39,china,21.62
"therapist, horticultural",entertainment,increasing,high,54123.43,phd,16,9170,8702,49.64,31.24,china,62.18
it sales professional,it,increasing,low,57877.23,phd,19,1473,8308,66.0,24.61,india,57.12
farm manager,education,increasing,low,43420.59,high school,17,4790,4368,2.51,25.05,china,34.99
"psychologist, sport and exercise",finance,decreasing,moderate,123368.7,bachelor’s degree,2,7527,4314,68.98,50.7,uk,64.12
translator,finance,decreasing,low,100973.33,associate degree,16,5810,4362,99.26,92.94,canada,35.29
leisure centre manager,healthcare,decreasing,low,122256.09,associate degree,12,9439,7741,84.17,93.27,brazil,73.0
clinical research associate,retail,decreasing,moderate,88964.38,high school,5,6456,1855,68.93,9.92,germany,62.89
radio broadcast assistant,education,increasing,low,149478.0,phd,3,1335,9677,44.93,60.12,australia,77.0
armed forces technical officer,transportation,increasing,moderate,117236.99,associate degree,18,5351,1236,26.58,96.36,brazil,67.34
games developer,manufacturing,increasing,high,74404.18,bachelor’s degree,0,7646,2115,28.68,91.59,china,33.85
clinical embryologist,education,increasing,moderate,94339.7,high school,18,2914,4579,93.56,7.28,canada,30.66
"editor, magazine features",entertainment,increasing,low,101556.24,phd,2,8042,8439,39.73,6.15,canada,69.53
"administrator, local government",it,decreasing,high,84262.14,high school,14,735,8504,44.05,32.65,australia,24.7
"engineer, control and instrumentation",education,decreasing,moderate,62985.97,master’s degree,3,6812,1540,50.94,51.55,brazil,30.96
art gallery manager,manufacturing,increasing,moderate,109891.47,high school,19,1336,5300,17.46,92.94,uk,46.7
economist,it,decreasing,moderate,139753.93,master’s degree,12,1317,4177,75.08,1.07,china,32.85
acupuncturist,education,decreasing,high,104165.83,master’s degree,9,4153,2133,85.31,97.36,india,62.84
writer,it,decreasing,moderate,46438.76,master’s degree,16,4067,8373,53.39,22.21,australia,27.45
fish farm manager,it,increasing,high,142127.15,high school,1,4021,7988,28.44,16.49,china,64.53
economist,it,increasing,low,121977.22,associate degree,6,9298,7651,83.65,44.09,brazil,45.9
"scientist, forensic",entertainment,decreasing,low,99127.75,bachelor’s degree,7,1244,759,61.69,76.81,brazil,65.77
energy manager,healthcare,increasing,moderate,110599.78,master’s degree,17,3137,3667,56.61,88.99,usa,36.88
drilling engineer,entertainment,increasing,high,39984.77,bachelor’s degree,17,6859,1062,45.37,28.79,india,47.87
information systems manager,finance,increasing,low,136680.64,phd,4,9538,8055,61.52,31.78,china,41.93
herpetologist,transportation,decreasing,low,67177.86,phd,18,2094,2311,92.24,50.68,uk,67.73
firefighter,healthcare,increasing,high,121674.07,bachelor’s degree,15,8103,4435,13.44,83.96,brazil,73.8
"engineer, materials",transportation,increasing,low,110751.4,phd,9,8180,1619,91.5,56.13,brazil,27.56
sports administrator,education,increasing,moderate,89930.36,high school,17,6545,9065,48.85,1.43,china,62.87
police officer,transportation,decreasing,high,70910.08,associate degree,5,4987,7307,86.04,53.35,brazil,23.43
"scientist, research (life sciences)",it,increasing,high,72196.09,associate degree,12,7609,3358,13.92,35.78,usa,20.49
hydrogeologist,education,decreasing,high,103024.76,bachelor’s degree,6,8041,1026,42.69,20.33,germany,76.56
immunologist,transportation,increasing,moderate,63245.63,phd,12,3937,1278,64.58,67.17,usa,24.27
chartered legal executive (england and wales),healthcare,decreasing,low,110818.16,phd,9,4532,8032,96.09,94.13,usa,73.65
aid worker,healthcare,increasing,low,143459.5,associate degree,8,9102,8102,29.61,92.4,usa,44.07
water engineer,manufacturing,increasing,low,96721.74,associate degree,6,3778,4053,87.27,85.44,canada,56.34
immigration officer,it,decreasing,low,70856.37,associate degree,8,2425,7075,52.9,37.9,china,25.84
"engineer, building services",manufacturing,increasing,low,145207.07,master’s degree,11,1547,6264,53.15,46.95,usa,69.65
company secretary,healthcare,increasing,moderate,93012.48,high school,14,6624,7470,51.78,35.47,australia,72.3
"nurse, learning disability",education,increasing,low,35047.03,bachelor’s degree,14,5055,6977,56.61,56.12,uk,53.58
agricultural engineer,education,increasing,moderate,130361.5,associate degree,20,4397,6731,53.87,17.93,uk,55.97
newspaper journalist,education,decreasing,low,75220.08,bachelor’s degree,14,4312,283,47.84,88.59,uk,70.49
clinical molecular geneticist,retail,increasing,low,99519.66,bachelor’s degree,2,505,7750,28.64,99.96,uk,71.13
barrister's clerk,it,increasing,low,70556.55,master’s degree,11,6105,6532,3.2,30.76,brazil,78.8
advertising account executive,healthcare,decreasing,moderate,34887.99,master’s degree,5,642,4871,11.13,80.01,canada,78.02
astronomer,transportation,increasing,moderate,41396.9,high school,18,909,8166,26.1,59.3,brazil,45.72
furniture designer,healthcare,increasing,high,99771.2,master’s degree,10,4199,9157,36.01,1.56,usa,79.39
"conservator, museum/gallery",transportation,increasing,low,32410.89,phd,12,638,7741,69.23,91.23,brazil,23.67
furniture conservator/restorer,healthcare,decreasing,high,129213.25,master’s degree,9,7281,4930,56.2,4.25,china,33.4
insurance account manager,transportation,increasing,moderate,72315.36,phd,4,3506,8255,43.46,32.21,canada,46.59
video editor,entertainment,decreasing,high,130820.65,master’s degree,2,6115,3007,56.98,32.79,germany,24.97
secondary school teacher,healthcare,decreasing,high,145045.22,bachelor’s degree,17,4350,8815,69.12,38.08,uk,62.16
"administrator, civil service",it,increasing,moderate,72118.04,master’s degree,13,6275,6328,88.89,99.64,uk,37.27
manufacturing engineer,transportation,increasing,high,36191.04,high school,4,6689,5363,64.21,89.36,india,41.07
furniture conservator/restorer,manufacturing,increasing,low,75372.99,bachelor’s degree,16,2610,2356,96.52,95.1,china,58.87
paediatric nurse,finance,increasing,moderate,136981.12,master’s degree,10,5454,3888,30.94,56.91,india,26.14
charity officer,transportation,decreasing,high,112293.47,bachelor’s degree,10,2178,7796,29.6,67.47,uk,52.03
careers information officer,manufacturing,decreasing,low,99560.73,associate degree,12,6862,7810,26.42,7.62,india,74.61
hydrologist,retail,decreasing,low,69032.88,bachelor’s degree,15,4163,4933,19.35,73.07,canada,47.27
music therapist,healthcare,decreasing,moderate,80458.36,high school,1,7091,4760,43.44,50.0,germany,41.79
"engineer, electrical",education,increasing,high,76138.59,bachelor’s degree,3,6833,4896,60.05,32.08,uk,36.98
physiotherapist,education,increasing,high,90444.0,master’s degree,6,648,5715,74.48,93.4,australia,73.44
building services engineer,entertainment,decreasing,moderate,96541.4,master’s degree,11,6727,3661,61.1,80.16,uk,74.68
arboriculturist,healthcare,decreasing,moderate,131182.04,bachelor’s degree,0,5427,4258,10.27,95.0,australia,52.9
corporate investment banker,healthcare,decreasing,high,76119.73,high school,9,3321,8258,71.07,0.8,canada,38.66
warden/ranger,entertainment,decreasing,high,117905.49,master’s degree,10,5000,8763,99.66,23.92,usa,79.49
retail manager,transportation,decreasing,moderate,70237.82,phd,15,3314,9182,22.69,86.49,australia,40.0
television camera operator,entertainment,increasing,high,105336.66,associate degree,1,335,4797,7.96,15.03,australia,69.4
barrister,manufacturing,increasing,low,99852.7,phd,11,5376,5278,86.38,5.01,canada,24.27
medical technical officer,retail,increasing,moderate,55484.87,associate degree,6,1104,6802,40.49,36.44,germany,38.55
advice worker,it,decreasing,high,97894.44,bachelor’s degree,3,6189,884,8.42,62.77,germany,78.11
international aid/development worker,it,increasing,low,147440.73,associate degree,14,4946,5817,81.92,21.88,canada,51.0
occupational psychologist,transportation,decreasing,high,86244.09,master’s degree,5,2809,2693,45.43,24.56,uk,37.17
"conservator, museum/gallery",retail,decreasing,low,67503.48,bachelor’s degree,15,2370,6861,20.42,38.75,australia,61.01
health physicist,transportation,increasing,moderate,81659.66,master’s degree,16,7374,4015,53.17,24.7,germany,44.83
"engineer, agricultural",entertainment,increasing,high,88906.52,bachelor’s degree,12,2892,3587,89.45,19.24,uk,78.73
